title,url,url_id
"[LIVE] ULAMA MENYAPA - Khitah Pers, Di Tengah Pergulatan Kontestasi Pemilu 2024",https://www.youtube.com/watch?v=D_0PcmaCtn4,D_0PcmaCtn4
[LIVE] NGICIP - Kearifan Lokal Mataram,https://www.youtube.com/watch?v=0ZhzCLm7n5g,0ZhzCLm7n5g
BUSYET KAMPUS UDINUS DAN UGM KENA ROASTING COKI & MUSLIM MLI PART1 - IEL University Series,https://www.youtube.com/watch?v=p03ae1CoChM,p03ae1CoChM
PROFIL UDINUS 2020,https://www.youtube.com/watch?v=n4BrvXafPdU,n4BrvXafPdU
"AWAL MULA ""UDINUS"" - COKI & MUSLIM | ROASTING UDINUS",https://www.youtube.com/watch?v=_AEnYd2H7OU,_AEnYd2H7OU
[LIVE] Wisuda UDINUS ke-75,https://www.youtube.com/watch?v=i3c-FvX6PiY,i3c-FvX6PiY
"PEMAIN UDINUS SELALU DIHATI, DIROASTING LAGI COKI & MUSLIM PART3 - IEL University Series",https://www.youtube.com/watch?v=8dV2i27eX_w,8dV2i27eX_w
KUPAS KAMPUS - UDINUS Kampus High Class | Universitas Dian Nuswantoro,https://www.youtube.com/watch?v=XadjiyFFd1w,XadjiyFFd1w
FULL ALBUM !! KONSER DENNY CAKNAN Di UDINUS - SEMARANG 2023 | DC Music,https://www.youtube.com/watch?v=fSaebe2JjCE,fSaebe2JjCE
Universitas Dian Nuswantoro (UDINUS) I Jelajah Kampus Swasta di Semarang,https://www.youtube.com/watch?v=dgO9n0jZHpc,dgO9n0jZHpc
[VLOG] Tour UDINUS Semarang !,https://www.youtube.com/watch?v=P9UuHLfPeWs,P9UuHLfPeWs
"TOLONG BU CHELSEA JANGAN KETAT SERAGAMNYA, NANTI KITA SANG... COKI & MUSLIM - IEL University Series",https://www.youtube.com/watch?v=TkXPPHRVfqM,TkXPPHRVfqM
Denny Caknan - Crito Mustahil ( Mung ) | (Official Music Video) #albumkalihwelasku,https://www.youtube.com/watch?v=30BilwJ6bUw,30BilwJ6bUw
FULL DENNY CAKNAN - NYUNSET AMBYAR - DSEASON JEPARA 2022,https://www.youtube.com/watch?v=COd96SY3lEs,COd96SY3lEs
SEMAKIN MAHAL SEBUAH KOS AN AKAN SEMAKIN PUTIH LAMPUNYA!!! COKI & MUSLIM - IEL University Series,https://www.youtube.com/watch?v=SknWv8QLOq0,SknWv8QLOq0
"MARCO FOKUS GAME ANDA!!, COKI & MUSLIM ROASTING UDINUS PART5 - IEL University Series",https://www.youtube.com/watch?v=3oMAkn3qDeM,3oMAkn3qDeM
mau heran tapi ini Udinus #udinussmg #udinus #tehnikudinus,https://www.youtube.com/shorts/MyT8GH6egZU,MyT8GH6egZU
HYMNE UDINUS (UNIVERSITAS DIAN NUSWANTORO) with LIRIK (new version 2020),https://www.youtube.com/watch?v=t8rPcQ7kIys,t8rPcQ7kIys
KAMPUS UDINUS DI ROASTING COKI & MUSLIM MLI PART2 - IEL University Series,https://www.youtube.com/watch?v=z5bQ2BjA03A,z5bQ2BjA03A
Fasilitas di BINUS University,https://www.youtube.com/watch?v=YTjAZs3D0qo,YTjAZs3D0qo
Video Profile Telkom University 2022 - Contribute to The Nation | PTS Terbaik No.1 di Indonesia,https://www.youtube.com/watch?v=L_S6_MfAWmY,L_S6_MfAWmY
Kenapa Harus UDINUS?,https://www.youtube.com/watch?v=NYvQtdhCPdI,NYvQtdhCPdI
Si Warik - Rindukan teman setia ( animasi UDINUS) #siwarik #animasi #animasiudinus #udinus,https://www.youtube.com/watch?v=t6i_TbpGzGs,t6i_TbpGzGs
[LIVE] Inagurasi Dinus Inside 2022,https://www.youtube.com/watch?v=LBqAyhwncBU,LBqAyhwncBU
Biaya Kuliah UDINUS Semarang,https://www.youtube.com/watch?v=PGyuJ8HMWCk,PGyuJ8HMWCk
[LIVE] Pra Dinus Inside 2022 - Day 1,https://www.youtube.com/watch?v=UW_e9y5J6Kg,UW_e9y5J6Kg
Momen Akreditasi Perpustakaan Udinus Semarang,https://www.youtube.com/watch?v=kngg9JacCJE,kngg9JacCJE
KIP KULIAH UNIVERSITAS DIAN NUSWANTORO 2022,https://www.youtube.com/watch?v=6aSSdA_dokg,6aSSdA_dokg
Udinus Dagelan Kocak🤣 #fyp #tiktok #viral #shorts #udinus #dinus #semarang #dinusdagelan #dagelan,https://www.youtube.com/shorts/LuorXoCGLOE,LuorXoCGLOE
KUPAS KAMPUS - REVIEW GEDUNG PARKIRAN BARU UDINUS | UNIVERSITAS DIAN NUSWANTORO,https://www.youtube.com/watch?v=z-mFkPkcZxI,z-mFkPkcZxI
MARS UDINUS with LIRIK v2020,https://www.youtube.com/watch?v=QJsxBzBRpLA,QJsxBzBRpLA
AFTERMOVIE OPEN RECRUITMENT HMKM UDINUS 2022,https://www.youtube.com/watch?v=p7ho7xKWs_8,p7ho7xKWs_8
Dari Admisi Udinus Untuk Calon Dinusian,https://www.youtube.com/watch?v=bRSqSccAyIg,bRSqSccAyIg
[LIVE] Pembukaan Dinus Inside 2022,https://www.youtube.com/watch?v=ZxEeh0PMPlY,ZxEeh0PMPlY
Profile Udinus 2018,https://www.youtube.com/watch?v=5jSNO7OnLWQ,5jSNO7OnLWQ
PMB UDINUS Semarang 2022,https://www.youtube.com/watch?v=jcr4yGR7o1Y,jcr4yGR7o1Y
Gabut bangett tiba-tiba diajakin ke UDINUS | Random Vlog Daily,https://www.youtube.com/watch?v=jf6VnwtkRQQ,jf6VnwtkRQQ
Denny Caknan Di Udinus Semarang,https://www.youtube.com/watch?v=D_eDxu25V34,D_eDxu25V34
Fasilitas Kampus Terbaik di Jawa Tengah | Udinus Semarang.,https://www.youtube.com/watch?v=vsxSNdr1EIU,vsxSNdr1EIU
Tipe Mahasiswa UDINUS,https://www.youtube.com/shorts/6D59t1QkROQ,6D59t1QkROQ
Robot Karya Udinus Digunakan Dunia Industri,https://www.youtube.com/watch?v=gselupszoMk,gselupszoMk
"Daily Vlog #6 : Graduation's UDINUS 2022 ""Menjadi Wisudawan Terbaik Jurusan Broadcasting!""",https://www.youtube.com/watch?v=5lAFhNxzPTY,5lAFhNxzPTY
Sekitar Kampus UDINUS Semarang,https://www.youtube.com/watch?v=gFd7UPvypyE,gFd7UPvypyE
TUTORIAL AKTIVASI EMAIL MAHASISWA UDINUS & SIADIN MAHASISWA 2021,https://www.youtube.com/watch?v=-6kBVluAMbY,-6kBVluAMbY
UDINUS Full Pecah 🔥🔥 #udinus #semarang #jawatengah #dennycaknan #shorts #short,https://www.youtube.com/shorts/IdTUaOv4GHo,IdTUaOv4GHo
5 Tempat Makan & Nongkrong Dekat UDINUS Harganya Murah Banyak Diskon Buat Mahasiswa!!!,https://www.youtube.com/watch?v=eArLVZq9X90,eArLVZq9X90
Pengalaman Kuliah DKV UDINUS Semarang (DESAIN KOMUNIKASI VISUAL 2015 - 2019),https://www.youtube.com/watch?v=_jsHfgBGyqs,_jsHfgBGyqs
Selayang Pandang Dari Rooftop UDINUS,https://www.youtube.com/shorts/-wXuFQHNzKA,-wXuFQHNzKA
Biro FTV Udinus Tayangkan Tiga Film Pendek Komedi,https://www.youtube.com/watch?v=oUyKWJDthd0,oUyKWJDthd0
Kreatif! Dosen Udinus dan IPB Ciptakan Robot Pemetik Melon,https://www.youtube.com/watch?v=I6b8KnZhmtQ,I6b8KnZhmtQ
Dinus Inside 2019 .... Serunya jadi Mahasiswa Baru UDINUS,https://www.youtube.com/watch?v=vG3gmP1YTuk,vG3gmP1YTuk
Udinus Targetkan Akreditasi Unggul di Semua Program Studi,https://www.youtube.com/watch?v=aNP_NlsK0Ps,aNP_NlsK0Ps
Udinus Gelar Refreshing Kepemimpinan Tahun 2022,https://www.youtube.com/watch?v=k9Xt_GbByYE,k9Xt_GbByYE
BIKIN TERHARU! DENNY CAKNAN NYANYI KALIH WELASKU MENJIWAI BANGET LIVE UDINUS SEMARANG,https://www.youtube.com/watch?v=6ZWFTLARDIs,6ZWFTLARDIs
PROFIL UPT PERPUSTAKAAN UDINUS SEMARANG,https://www.youtube.com/watch?v=lVB0nPWps6c,lVB0nPWps6c
Video Dokumentasi Kegiatan P3K Fkes Udinus 2020,https://www.youtube.com/watch?v=_325JI7eII8,_325JI7eII8
[LIVE] Pra Dinus Inside 2022 - Day 2,https://www.youtube.com/watch?v=LDfpXPat4js,LDfpXPat4js
[LIVE] Dinus Inside 2022 FIK - DAY - 3 (GUEST STAR GE PAMUNGKAS),https://www.youtube.com/watch?v=cnWh_IekpLE,cnWh_IekpLE
Udinus Luluskan 1165 Wisudawan Unggulan di Wisuda Ke-75,https://www.youtube.com/watch?v=SUWE7onDCDE,SUWE7onDCDE
24 Tim Adu Skill Dalam Lomba Futsal UKM Sepak Bola Udinus,https://www.youtube.com/watch?v=LvDUzo2qWrY,LvDUzo2qWrY
Profil Teknik Elektro UDINUS,https://www.youtube.com/watch?v=LFMupLNYhCo,LFMupLNYhCo
"Dilaunching, Robot Catur Pertama di Indonesia Buatan Udinus Kalahkan Pecatur Internasional",https://www.youtube.com/watch?v=ckQ344fGFdg,ckQ344fGFdg
FAKTA UNIK DARI UNIVERSITAS DIAN NUSWANTORO (UDINUS) SEMARANG #UDINUS #BINUS #UPH #universitastrisak,https://www.youtube.com/watch?v=WixzDIrYL8Y,WixzDIrYL8Y
"Sinergi Prestasi, PSIS dan Udinus",https://www.youtube.com/watch?v=RqJR70TRVcI,RqJR70TRVcI
“TIRTANADI” - PPK ORMAWA HMM UDINUS,https://www.youtube.com/watch?v=nj3P1ANV_ew,nj3P1ANV_ew
Gimana Rasanya Kuliah di Teknik Industri UDINUS?,https://www.youtube.com/watch?v=xP5LNPwMYr4,xP5LNPwMYr4
[LIVE] Pra Dinus Inside 2022 - Day 3,https://www.youtube.com/watch?v=5y1IzbXhGuI,5y1IzbXhGuI
Inside of Animasi Udinus,https://www.youtube.com/watch?v=RTI1KONmH58,RTI1KONmH58
Udinus Profile Campus,https://www.youtube.com/watch?v=iZrq_njuU9c,iZrq_njuU9c
"JKT48 Team J Bunkasai Udinus, Semarang 16-02-2020 FANCAM",https://www.youtube.com/watch?v=0CVIbCD1qmk,0CVIbCD1qmk
WISUDA KE-66 & 67 UNIVERSITAS DIAN NUSWANTORO,https://www.youtube.com/watch?v=9Y45vQLAgBU,9Y45vQLAgBU
GAMELAN UDINUS TAMPIL DI UNESCO,https://www.youtube.com/watch?v=E1o-pf_KWM8,E1o-pf_KWM8
"Tingkatkan Positive Journalism, OPPAL Bidik Mahasiswa Udinus",https://www.youtube.com/watch?v=MscWa81fRy0,MscWa81fRy0
Mahasiswa Animasi Udinus Pukau Audiens Lewat Seni Animasi,https://www.youtube.com/watch?v=lMJlRH5sOjM,lMJlRH5sOjM
Lamborghini centenario di udinus semarang #viral #trend #trending #viralkan #udinus #semarang #like,https://www.youtube.com/shorts/liG5gMgvoCE,liG5gMgvoCE
[LIVE] WISUDA KE 76 UNIVERSITAS DIAN NUSWANTORO,https://www.youtube.com/watch?v=ixCKILB-9Fc,ixCKILB-9Fc
ROBOT CATUR BUATAN UDINUS SEMARANG KALAHKAN ATLET CATUR,https://www.youtube.com/watch?v=Kty_6VrIvyA,Kty_6VrIvyA
[LIVE] Pembekalan Calon Wisudawan Udinus ke-75,https://www.youtube.com/watch?v=iWLOGdXWe5I,iWLOGdXWe5I
261 Calon Wisudawan D3 RMIK Udinus Ikuti Sumpah Profesi,https://www.youtube.com/watch?v=wZ7KEx4oP1k,wZ7KEx4oP1k
Program Studi Teknik Industri UDINUS,https://www.youtube.com/watch?v=kIcm_7Zl5vc,kIcm_7Zl5vc
Mahasiswa Fakultas Kesehatan Udinus Mulai Jalani PBL 1,https://www.youtube.com/watch?v=MM-L0hPN39I,MM-L0hPN39I
[HYMNE UDINUS]MABA UDINUS WAJIB HAFAL,https://www.youtube.com/watch?v=J76DNO3cjaY,J76DNO3cjaY
OSPEK UDINUS HEBOH!!! Mahasiswa Baru Universitas Dian Nuswantoro TERGUNCANG di Dinus Inside 2016,https://www.youtube.com/watch?v=0mhMtuDgJrU,0mhMtuDgJrU
Tari Bedoyo Nuswantara l Tim E-GamelanKU UDINUS,https://www.youtube.com/watch?v=Qiw5tib7Y7o,Qiw5tib7Y7o
Robot Catur Udinus dengan Artificial Intelligence,https://www.youtube.com/watch?v=LGRviKsG3Bg,LGRviKsG3Bg
Perjalanan UDINUS gedung H sampai gedung D,https://www.youtube.com/watch?v=KQ5gIqjCP-c,KQ5gIqjCP-c
Yuk Menyisir Burjo di Sekitar UDINUS ! Nasi Goreng Magelangan jadi Menu Favorit di Burjo Sari Asik 2,https://www.youtube.com/watch?v=2iw9XSgvhaE,2iw9XSgvhaE
Heal The World (14 Choir Generations) - Gita Dian Nuswa Choir - Udinus,https://www.youtube.com/watch?v=DmQKjjlXElk,DmQKjjlXElk
Tata Cara Input Presensi di Kulino UDINUS,https://www.youtube.com/watch?v=EfcRKugK2hY,EfcRKugK2hY
Keliling udinus Gedung H,https://www.youtube.com/watch?v=sR9IqT3eoLY,sR9IqT3eoLY
Live Konser SENOXX | Mendadak Seneng Goyang | UDINUS 2021,https://www.youtube.com/watch?v=rXuAwc9dbF4,rXuAwc9dbF4
[LIVE] OPPAL - ILKOM UDINUS - Positive Journalism,https://www.youtube.com/watch?v=Mm1knuwUhuE,Mm1knuwUhuE
"REKTOR UDINUS, PROF. EDI NOERSASONGKO, SANG MAESTRO LAHIRNYA TELEVISI PENDIDIKAN",https://www.youtube.com/watch?v=iNbj_rx3uJ4,iNbj_rx3uJ4
Udinus Sambut Mahasiswa Program Pertukaran Mahasiswa Merdeka,https://www.youtube.com/watch?v=-5EcGTLa0kY,-5EcGTLa0kY
EGAMELAN UDINUS WAKILI INDONESIA DI UNESCO,https://www.youtube.com/watch?v=KjoVtMNup-E,KjoVtMNup-E
5 Film Pendek Karya Mahasiswa FTV Udinus Raih Juara,https://www.youtube.com/watch?v=Gz5fu73Spqk,Gz5fu73Spqk
PAMER BOJO CENDOL DAWET Senoxxx Official At UDINUS !!! Dinus Inside 2019,https://www.youtube.com/watch?v=8HvA5xJMOtc,8HvA5xJMOtc
[LIVE] Dinus Inside 2022 FIK - DAY - 1,https://www.youtube.com/watch?v=tIrKUleH7hg,tIrKUleH7hg
WISUDA KE-66 & 67 UNIVERSITAS DIAN NUSWANTORO,https://www.youtube.com/watch?v=lq0vxxRpDnQ,lq0vxxRpDnQ
Keliling Udinus Gedung G & H ✨✨ (Tugas B.indonesia Bahasa Semi Formal),https://www.youtube.com/watch?v=P8VLOR7LWUQ,P8VLOR7LWUQ
Dandim 0733 Kota Semarang Suntik Semangat Kebangsaan Mahasiswa Baru Udinus,https://www.youtube.com/watch?v=okSt3on0JK8,okSt3on0JK8
SOSIALISASI PMMB BATCH II UDINUS - 2021,https://www.youtube.com/watch?v=PqO-TJP-Lss,PqO-TJP-Lss
Lokasi Syuting Iklan UDINUS,https://www.youtube.com/watch?v=jyiRJc0mhks,jyiRJc0mhks
PRATAMA ARHAN DAPAT BEASISWA DARI UDINUS,https://www.youtube.com/watch?v=aPzIqBVT7HM,aPzIqBVT7HM
Final SMA PERATURAN 2022 | UDINUS PENCAK SILATCHAMPIONSHIP,https://www.youtube.com/watch?v=RMODNBHasPA,RMODNBHasPA
"Belajar Perhotelan, SMK N 1 Bawen Kunjungi Udinus",https://www.youtube.com/watch?v=Pjr3-NCaDoE,Pjr3-NCaDoE
